"","Наименование пункта пропуска","Филиал","latitude","longitude","Федеральный округ","Вид","Количество","Год","Категория","Установлен / закрыт","Функционирует/не функционирует"
"919","Лаврентия","Владивостокский","65.587303","189.001955","ДФО","МПП","0","2019","Число людей","установлен","нет"
"920","Левашово","Санкт-Петербургский","60.090118","30.19562","СЗФО","ВПП","0","2019","Число людей","установлен","нет"
"921","Лесозаводск","Владивостокский","45.454651203762","133.37783813476","ДФО","СПП","0","2019","Число людей","установлен","нет"
"925","Локоть","Брянский","51.675","34.2175","ЦФО","ЖДПП","0","2019","Число людей","установлен","нет"
"933","Магас","Северо-Кавказский","43.319877092768","45.012048912086","СКФО","ВПП","0","2019","Число людей","установлен","нет"
"935","Макушино","Уральский","55.221363069505","67.2304995","УФО","ЖДПП","0","2019","Число людей","установлен","да"
"942","Марцево","Ростовский","47.263000000268","38.883600000292","ЮФО","ЖДПП","0","2019","Число людей","установлен","да"
"950","Можаевка","Ростовский","48.759866","39.737029","ЮФО","АПП","0","2019","Число людей","установлен","нет"
"957","Мугур-Аксы","Новосибирский","50.35","90.5","СФО","АПП","0","2019","Число людей","установлен","нет"
"961","Нарьян-Мар","Мурманский","67.647187","53.002155","СЗФО","МПП","0","2019","Число людей","установлен","нет"
"967","Нежеголь","Белгородский","50.372308","36.850314","ЦФО","ЖДПП","0","2019","Число людей","установлен","да"
"972","Нижнеленинское","Хабаровский","47.975056","132.671355","ДФО","ЖДПП","0","2019","Число людей","установлен","да"
"978","Новобелая","Белгородский","49.7947","39.245439","ЦФО","АПП","0","2019","Число людей","установлен","да"
"985","Норильск (Алыкель)","Мурманский","69.326404","87.348495","СФО","ВПП","0","2019","Число людей","установлен","нет"
"1005","Пашково","Хабаровский","48.884618","130.656092","ДФО","СПП","0","2019","Число людей","установлен","нет"
"1006","Певек","Владивостокский","69.702388","170.259281","ДФО","МПП","0","2019","Число людей","установлен","нет"
"1019","Покровка","Читинский","53.343378","121.535043","ДФО","АПП","0","2019","Число людей","установлен","нет"
"1023","Поронайск","Владивостокский","49.227984","143.116655","ДФО","МПП","0","2019","Число людей","установлен","нет"
"1024","Посинь","Псковский","56.341761","28.248432","СЗФО","ЖДПП","0","2019","Число людей","установлен","нет"
"1031","Псков","Псковский","57.814291","28.326674","СЗФО","РПП","0","2019","Число людей","установлен","нет"
"1034","Разъезд Карьер 122 км","Ростовский","48.6833","39.75","ЮФО","ЖДПП","0","2019","Число людей","установлен","нет"
"1035","Разъезд Выстрел","Белгородский","50.008735","38.19259","ЦФО","ЖДПП","0","2019","Число людей","установлен","нет"
"1040","Рыбачий","Калининградский","55.158399999142","20.85000000149","СЗФО","РПП","0","2019","Число людей","установлен","да"
"1056","Симферополь","Крымский","44.961745","34.082217","ЮФО","ЖДПП","0","2019","Число людей","установлен","нет"
"1057","Скангали","Псковский","56.8999","27.743","СЗФО","ЖДПП","0","2019","Число людей","установлен","нет"
"1061","Советск (Русне, Юрбаркас)","Калининградский","55.084813","21.89674","СЗФО","РПП","0","2019","Число людей","установлен","нет"
"1069","Сторожинец","Псковский","58.574516","27.829775","СЗФО","ОПП","0","2019","Число людей","установлен","нет"
"1081","Тверь (Мигалово)","Центральный аппарат","56.829673","35.755184","ЦФО","ВПП","0","2019","Число людей","установлен","да"
"1084","Тёткино","Брянский","51.2789","34.285","ЦФО","ЖДПП","0","2019","Число людей","установлен","нет"
"1085","Тёткино (Бояро-Лежачи)","Брянский","51.24417","34.298149","ЦФО","АПП","0","2019","Число людей","установлен","нет"
"1087","Титовка","Ростовский","48.995","39.7369","ЮФО","АПП","0","2019","Число людей","установлен","нет"
"1088","Тишанка","Белгородский","50.391387","37.467621","ЦФО","АПП","0","2019","Число людей","установлен","нет"
"1089","Тобольск (Ремезов)","Уральский","58.061721","68.330397","УФО","ВПП","0","2019","Число людей","установлен","нет"
"1099","Убур-Тохтор","Читинский","50.4167","113.8333","ДФО","АПП","0","2019","Число людей","установлен","нет"
"1101","Углегорск","Владивостокский","49.076574","142.033563","ДФО","МПП","0","2019","Число людей","установлен","нет"
"1108","Ушаково","Хабаровский","51.883","126.5631","ДФО","СПП","0","2019","Число людей","установлен","нет"
"1109","Уэлен","Владивостокский","66.157446","190.19614","ДФО","МПП","0","2019","Число людей","установлен","нет"
