,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту
106,54.789484,65.945636,Зауралье,УФО,ЖДПП,12339.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан,0
107,54.386677,64.805326,Звериноголовское,УФО,АПП,198636.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан,0
108,52.192193,34.058658,Зерново,ЦФО,АПП,0.0,2017,Число людей,Брянский,установлен,нет,Украина,0
109,59.376896,28.211033,Ивангород,СЗФО,АПП,3765083.0,2017,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика,2555000
110,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,119183.0,2017,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика,438000
111,59.360621,28.200402,Ивангород,СЗФО,ППП,35920.0,2017,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика,1095000
112,56.9422250121968,40.9305054999998,Иваново (Южный),ЦФО,ВПП,0.0,2017,Число людей,Центральный аппарат,установлен,нет,не применимо,0
113,55.0,55.0,Ижевск,ПФО,ВПП,0.0,2017,Число людей,Волгоградский,установлен,нет,не применимо,0
114,51.492998,53.382564,Илек,ПФО,АПП,549491.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан,0
115,50.751077,35.539322,Илек-Пеньковка,ЦФО,ЖДПП,0.0,2017,Число людей,Белгородский,установлен,да,Украина,0
116,51.1568999998271,54.9952999986708,"Илецк-1 (Жайсан, Шынгырлау)",ПФО,ЖДПП,487154.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан,0
117,63.304965,31.004307,Инари,СЗФО,АПП,4837.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,0
118,52.272805,104.35571,Иркутск,СФО,ВПП,612547.0,2017,Число людей,Читинский,установлен,да,не применимо,0
119,53.9109000004827,74.9037999995053,Иртышское (Валиханово),СФО,ЖДПП,16905.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,0
120,54.9219999983907,71.0168999992311,Исилькуль,СФО,АПП,773314.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,0
121,54.909388,71.263429,Исилькуль,СФО,ЖДПП,406342.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,0
