,Наименование_пункта_пропуска,Филиал,latitude,longitude,Федеральный_округ,Вид,Количество,Год,Категория,Установлен___закрыт,Функционирует_не_функционирует,Сопредельное_государство,ANN,Распределение
166,Тёткино,Брянский,51.2789,34.285,ЦФО,ЖДПП,0,2022,Число людей,установлен,нет,Украина,0.548865020275116,Сгруппированное
167,Тёткино (Бояро-Лежачи),Брянский,51.24417,34.298149,ЦФО,АПП,0,2022,Число людей,установлен,нет,Украина,0.548865020275116,Сгруппированное
168,Тёткино (Рыжевка),Брянский,51.24413,34.298117,ЦФО,АПП,309,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
169,Тишанка,Белгородский,50.391387,37.467621,ЦФО,АПП,0,2022,Число людей,установлен,нет,Украина,0.548865020275116,Сгруппированное
170,Топольное,Новосибирский,50.918237,80.103876,СФО,АПП,7957,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
171,Торфяновка,Санкт-Петербургский,60.596099,27.913096,СЗФО,АПП,855576,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
172,Третьяково,Новосибирский,50.866700001061,81.895300000906,СФО,ЖДПП,5364,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
173,Троебортное,Брянский,51.881005,34.337551,ЦФО,АПП,90177,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
174,"Троицк (Кайрак, Магнай)",Уральский,54.1130000017583,61.5698999986053,УФО,ЖДПП,12560,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
175,Турий Рог,Владивостокский,45.262249,131.978153,ДФО,АПП,6746,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
