,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
121,42.768431,44.631185,Верхний Ларс,СКФО,АПП,118354.0,2021,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,73000.0,1.62
126,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,371722.0,2021,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,62050.0,5.99
127,43.397314,40.002072,Адлер,ЮФО,АПП,2388558.0,2022,Легковые транспортные средства,Сочинский,установлен,да,Республика Абхазия,456250.0,5.24
129,42.768431,44.631185,Верхний Ларс,СКФО,АПП,598592.0,2022,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,73000.0,8.2
135,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,358264.0,2022,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,62050.0,5.77
136,50.700218,92.069395,Хандагайты (Боршо),СФО,АПП,22289.0,2022,Легковые транспортные средства,Новосибирский,установлен,да,Монголия,15548.0,1.43
137,43.397314,40.002072,Адлер,ЮФО,АПП,105498.0,2017,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750.0,1.93
139,54.006458,61.625926,Бугристое,УФО,АПП,233923.0,2017,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500.0,2.14
140,56.356309,28.197336,Бурачки,СЗФО,АПП,141165.0,2017,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика,109500.0,1.29
141,42.768431,44.631185,Верхний Ларс,СКФО,АПП,168407.0,2017,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050.0,2.71
142,62.168784,30.635873,Вяртсиля,СЗФО,АПП,81210.0,2017,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,43800.0,1.85
144,42.056396,48.306587,Дербент,СКФО,ЖДПП,7222.0,2017,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,5840.0,1.24
145,51.647524,34.137715,Крупец,ЦФО,АПП,43764.0,2017,Грузовые транспортные средства,Брянский,установлен,да,Украина,36500.0,1.2
147,64.545064,29.994016,Люття,СЗФО,АПП,33718.0,2017,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,21900.0,1.54
150,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,42126.0,2017,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,36500.0,1.15
155,54.645721,22.736633,Чернышевское,СЗФО,АПП,133222.0,2017,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500.0,1.22
156,43.397314,40.002072,Адлер,ЮФО,АПП,98509.0,2018,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750.0,1.8
158,54.006458,61.625926,Бугристое,УФО,АПП,242803.0,2018,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500.0,2.22
159,56.356309,28.197336,Бурачки,СЗФО,АПП,147843.0,2018,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика,109500.0,1.35
160,42.768431,44.631185,Верхний Ларс,СКФО,АПП,214082.0,2018,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050.0,3.45
161,62.168784,30.635873,Вяртсиля,СЗФО,АПП,86500.0,2018,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,43800.0,1.97
163,42.056396,48.306587,Дербент,СКФО,ЖДПП,6465.0,2018,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,5840.0,1.11
165,64.545064,29.994016,Люття,СЗФО,АПП,31955.0,2018,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,21900.0,1.46
168,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,49509.0,2018,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,36500.0,1.36
170,49.643629,89.44195,Ташанта,СФО,АПП,7829.0,2018,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия,5980.0,1.31
174,54.645721,22.736633,Чернышевское,СЗФО,АПП,128113.0,2018,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500.0,1.17
176,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,110344.0,2018,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,109500.0,1.01
177,43.397314,40.002072,Адлер,ЮФО,АПП,97161.0,2019,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750.0,1.77
