,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство
6102,54.3927,20.6475,Багратионовск,СЗФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Калининградский,установлен,нет,Республика Польша
6104,50.368527,35.756453,Безымено,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,нет,Украина
6105,52.3835,33.4804,Белая Березка,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Брянский,установлен,нет,Украина
6107,50.593234,36.605675,Белгород,ЦФО,ЖДПП,1121.0,2021,Грузовые транспортные средства,Белгородский,установлен,да,Украина
6110,50.249853,127.554133,Благовещенск,ДФО,СПП,764.0,2021,Грузовые транспортные средства,Хабаровский,установлен,да,Китайская Народная Республика
6111,50.252764,127.547584,Благовещенск-1,ДФО,ППП,0.0,2021,Грузовые транспортные средства,Хабаровский,установлен,нет,Китайская Народная Республика
6113,48.347254,134.768252,Большой Уссурийский,ДФО,АПП,0.0,2021,Грузовые транспортные средства,Хабаровский,установлен,нет,Китайская Народная Республика
6114,69.655681,30.203183,Борисоглебск,СЗФО,АПП,813.0,2021,Грузовые транспортные средства,Мурманский,установлен,да,Королевство Норвегия
6116,57.538718,27.471549,Брунишево,СЗФО,АПП,0.0,2021,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика
6117,60.931202,28.560617,Брусничное,СЗФО,АПП,145735.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6118,60.810182,28.737329,Брусничное (Сайменский канал),СЗФО,МПП,694.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6120,53.213067,34.409548,Брянск-Льговский,ЦФО,ЖДПП,4282.0,2021,Грузовые транспортные средства,Брянский,установлен,да,Украина
6121,53.262436,34.405696,Брянск-Орловский,ЦФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Брянский,установлен,да,Украина
6123,54.006458,61.625926,Бугристое,УФО,АПП,313418.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6124,56.356309,28.197336,Бурачки,СЗФО,АПП,135512.0,2021,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика
6125,53.796262,61.157583,Бускульский,УФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Уральский,установлен,нет,Республика Казахстан
6126,60.840635,28.378262,Бусловская,СЗФО,ЖДПП,7425.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6131,50.3108,36.5807,Вергелевка,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,нет,Украина
6132,50.197641,37.638937,Вериговка,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,да,Украина
6133,46.724082,48.22708,Верхний Баскунчак,ЮФО,ЖДПП,954.0,2021,Грузовые транспортные средства,Волгоградский,установлен,да,Республика Казахстан
6134,42.768431,44.631185,Верхний Ларс,СКФО,АПП,296877.0,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия
6135,49.5112,112.602049,Верхний Ульхун,ДФО,АПП,0.0,2021,Грузовые транспортные средства,Читинский,установлен,да,Монголия
6137,51.211204,81.11318,Веселоярск,СФО,АПП,67402.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6138,49.429484,46.795764,Вишневка,ЮФО,АПП,3513.0,2021,Грузовые транспортные средства,Волгоградский,установлен,да,Республика Казахстан
6145,54.646153,65.803555,Воскресенское,УФО,АПП,0.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6147,60.715429,28.750744,Выборг,СЗФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6150,62.168784,30.635873,Вяртсиля,СЗФО,АПП,96501.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6151,62.168005,30.641338,Вяртсиля,СЗФО,ЖДПП,1556.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6152,41.490063,48.064536,Гарах,СКФО,АПП,0.0,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика
6156,51.286303,34.731497,Глушково,ЦФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Брянский,установлен,да,Украина
6157,50.4348,35.8312,Головчино,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,нет,Украина
6158,50.511166,35.825004,Головчино,ЦФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,да,Украина
6159,50.972275,81.420538,Горняк,СФО,АПП,0.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6160,50.43093,35.591033,Грайворон,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,да,Украина
6164,54.343023,22.298854,Гусев,СЗФО,АПП,0.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Республика Польша
6166,42.056396,48.306587,Дербент,СКФО,ЖДПП,4953.0,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика
6167,53.482007,123.888834,Джалинда,ДФО,СПП,0.0,2021,Грузовые транспортные средства,Хабаровский,установлен,нет,Китайская Народная Республика
6171,50.7621,35.5521,Долбино,ЦФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,нет,Украина
6174,55.066608,21.952485,Дубки,СЗФО,АПП,0.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика
6179,54.356622,21.323472,Железнодорожный,СЗФО,АПП,0.0,2021,Грузовые транспортные средства,Калининградский,установлен,нет,Республика Польша
6180,54.35581,21.32322,Железнодорожный,СЗФО,ЖДПП,1140.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Республика Польша
6181,50.4742,105.1031,Желтура,ДФО,АПП,0.0,2021,Грузовые транспортные средства,Читинский,установлен,нет,Монголия
6183,49.632878,117.373814,Забайкальск,ДФО,АПП,79479.0,2021,Грузовые транспортные средства,Читинский,установлен,да,Китайская Народная Республика
6184,49.638766,117.331686,Забайкальск,ДФО,ЖДПП,13028.0,2021,Грузовые транспортные средства,Читинский,установлен,да,Китайская Народная Республика
6186,54.789484,65.945636,Зауралье,УФО,ЖДПП,5285.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6187,54.386677,64.805326,Звериноголовское,УФО,АПП,26485.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6188,52.192193,34.058658,Зерново,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Брянский,установлен,нет,Украина
6189,59.376896,28.211033,Ивангород,СЗФО,АПП,68331.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Эстонская Республика
6190,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,3830.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Эстонская Республика
6191,59.360621,28.200402,Ивангород,СЗФО,ППП,0.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Эстонская Республика
6194,51.492998,53.382564,Илек,ПФО,АПП,18978.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6195,50.751077,35.539322,Илек-Пеньковка,ЦФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,да,Украина
6196,51.1568999998271,54.9952999986708,"Илецк-1 (Жайсан, Шынгырлау)",ПФО,ЖДПП,8282.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6197,63.304965,31.004307,Инари,СЗФО,АПП,4701.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6199,53.9109000004827,74.9037999995053,Иртышское (Валиханово),СФО,ЖДПП,929.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6200,54.9219999983907,71.0168999992311,Исилькуль,СФО,АПП,75655.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6201,54.909388,71.263429,Исилькуль,СФО,ЖДПП,58575.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6202,45.341123,36.675162,Кавказ,ЮФО,МПП,1865.0,2021,Грузовые транспортные средства,Сочинский,установлен,да,утратило значение (Украина)
6203,55.393328,69.338667,Казанское,УФО,АПП,0.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6205,49.743903,46.84589,Кайсацкое,ЮФО,ЖДПП,577.0,2021,Грузовые транспортные средства,Волгоградский,установлен,да,Республика Казахстан
6210,50.197449,127.641475,Кани-Курган,ДФО,АПП,0.0,2021,Грузовые транспортные средства,Хабаровский,установлен,да,Китайская Народная Республика
6211,53.752359,78.053926,Карасук,СФО,ЖДПП,241.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6212,46.545927,48.637239,Караузек,ЮФО,АПП,156458.0,2021,Грузовые транспортные средства,Волгоградский,установлен,да,Республика Казахстан
6213,53.052333,60.643455,"Карталы (Аксу, Бускуль)",УФО,ЖДПП,14878.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6214,54.0258076869129,61.7458551561277,Кварцитный,УФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Уральский,установлен,нет,Республика Казахстан
6218,50.813564,35.415016,Колотиловка,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,да,Украина
6219,51.576089,60.615823,Комсомольский,ПФО,АПП,0.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6220,49.6167,127.9833,Константиновка,ДФО,СПП,0.0,2021,Грузовые транспортные средства,Хабаровский,установлен,нет,Китайская Народная Республика
6223,42.768502,130.470716,Краскино,ДФО,АПП,19619.0,2021,Грузовые транспортные средства,Владивостокский,установлен,да,Китайская Народная Республика
6226,51.647524,34.137715,Крупец,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Брянский,установлен,да,Украина
6227,57.895767,27.817193,Крупп,СЗФО,АПП,0.0,2021,Грузовые транспортные средства,Псковский,установлен,да,Эстонская Республика
6228,54.3275,21.5533,Крылово,СЗФО,АПП,0.0,2021,Грузовые транспортные средства,Калининградский,установлен,нет,Республика Польша
6232,52.571772,78.935906,Кулунда,СФО,ЖДПП,5832.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6233,52.532284,78.630049,Кулунда (Шарбакты),СФО,АПП,62051.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6234,57.832371,27.595687,Куничина Гора,СЗФО,АПП,51807.0,2021,Грузовые транспортные средства,Псковский,установлен,да,Эстонская Республика
6238,50.325935,106.487149,Кяхта,ДФО,АПП,24770.0,2021,Грузовые транспортные средства,Читинский,установлен,да,Монголия
6241,45.45465120376154,133.3778381347585,Лесозаводск,ДФО,СПП,0.0,2021,Грузовые транспортные средства,Владивостокский,установлен,нет,Китайская Народная Республика
6243,49.999964,37.951784,Логачевка,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,да,Украина
6244,51.287835,81.103774,Локоть,СФО,ЖДПП,4371.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6245,51.675,34.2175,Локоть,ЦФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Брянский,установлен,нет,Украина
6246,52.295003,32.647313,Ломаковка,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Брянский,установлен,да,Украина
6247,68.477378,28.477149,Лотта,СЗФО,АПП,1341.0,2021,Грузовые транспортные средства,Мурманский,установлен,да,Финляндская Республика
6248,57.132236,27.774503,Лудонка,СЗФО,АПП,0.0,2021,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика
6249,64.545064,29.994016,Люття,СЗФО,АПП,30286.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6250,64.5496,30.665,Люття,СЗФО,ЖДПП,3858.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6255,55.2213630695047,67.2304994999999,Макушино,УФО,ЖДПП,1553.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6256,51.595588,79.437002,Малиновое Озеро,СФО,АПП,0.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6257,54.447689,19.898678,Мамоново,СЗФО,ЖДПП,4322.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Республика Польша
6258,54.424393,20.074312,Мамоново (Гжехотки),СЗФО,АПП,44520.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Республика Польша
6259,54.439183,19.901304,Мамоново (Гроново),СЗФО,АПП,0.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Республика Польша
6260,52.319569,61.001741,Мариинский,УФО,АПП,5087.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6261,45.550477,133.321171,Марково,ДФО,АПП,0.0,2021,Грузовые транспортные средства,Владивостокский,установлен,нет,Китайская Народная Республика
6264,42.681192,130.61768,Махалино,ДФО,ЖДПП,1918.0,2021,Грузовые транспортные средства,Владивостокский,установлен,да,Китайская Народная Республика
6267,51.853502,50.896097,Маштаково,ПФО,АПП,435248.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6269,50.807859,81.965854,Михайловка,СФО,АПП,26132.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6271,51.636004,100.860313,Монды,ДФО,АПП,2.0,2021,Грузовые транспортные средства,Читинский,установлен,да,Монголия
6272,55.278507,20.963083,Морское,СЗФО,АПП,0.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика
6277,50.35,90.5,Мугур-Аксы,СФО,АПП,0.0,2021,Грузовые транспортные средства,Новосибирский,установлен,нет,Монголия
6282,50.388174,106.100215,Наушки,ДФО,ЖДПП,3597.0,2021,Грузовые транспортные средства,Читинский,установлен,да,Монголия
6285,50.982706,81.519878,Неверовская,СФО,ЖДПП,1916.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6286,53.7267000004649,73.8075000010431,Невольное,СФО,АПП,3549.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6287,50.372308,36.850314,Нежеголь,ЦФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,да,Украина
6288,54.636192,22.73258,Нестеров,СЗФО,ЖДПП,7286.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика
6289,50.338847,36.28717,Нехотеевка,ЦФО,АПП,68578.0,2021,Грузовые транспортные средства,Белгородский,установлен,да,Украина
6292,47.975056,132.671355,Нижнеленинское,ДФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Хабаровский,установлен,да,Китайская Народная Республика
6293,47.961278,132.669774,Нижнеленинское,ДФО,СПП,0.0,2021,Грузовые транспортные средства,Хабаровский,установлен,да,Китайская Народная Республика
6294,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,37042.0,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия
6296,53.003526,62.129645,Николаевка,УФО,АПП,13855.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6302,41.708056,48.473279,Ново-Филя,СКФО,АПП,3046.0,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика
6304,52.116365,31.811135,Новые Юрковичи,ЦФО,АПП,93916.0,2021,Грузовые транспортные средства,Брянский,установлен,да,Украина
6306,54.159304,72.792108,Одесское,СФО,АПП,44362.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6307,51.216321,49.880509,Озинки,ПФО,АПП,59675.0,2021,Грузовые транспортные средства,Волгоградский,установлен,да,Республика Казахстан
6308,51.194203,49.73407,Озинки,ПФО,ЖДПП,3662.0,2021,Грузовые транспортные средства,Волгоградский,установлен,да,Республика Казахстан
6309,51.336732,119.873112,Олочи,ДФО,АПП,0.0,2021,Грузовые транспортные средства,Читинский,установлен,да,Китайская Народная Республика
6311,53.796579,75.051943,Ольховка,СФО,АПП,56708.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6317,51.084344,58.475364,Орск,ПФО,АПП,120691.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6319,51.086122,58.464716,Орск,ПФО,ЖДПП,2386.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6322,53.401993,77.709242,Павловка,СФО,АПП,67301.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6323,52.924229,78.268375,Павловка (Славгород),СФО,АПП,0.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6325,48.884618,130.656092,Пашково,ДФО,СПП,0.0,2021,Грузовые транспортные средства,Хабаровский,установлен,нет,Китайская Народная Республика
6332,55.090975,68.242499,Петухово,УФО,АПП,152342.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6333,55.070614,67.887333,Петухово,УФО,ЖДПП,51817.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6334,57.8357999995351,27.625300001353,Печоры-Псковские,СЗФО,ЖДПП,2068.0,2021,Грузовые транспортные средства,Псковский,установлен,да,Эстонская Республика
6335,52.369862,33.243985,Погар,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Брянский,установлен,да,Украина
6336,55.059774,22.590262,Пограничный,СЗФО,АПП,0.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика
6337,44.39917,131.259668,Пограничный,ДФО,АПП,32342.0,2021,Грузовые транспортные средства,Владивостокский,установлен,да,Китайская Народная Республика
6338,44.40663,131.37327,Пограничный,ДФО,ЖДПП,7925.0,2021,Грузовые транспортные средства,Владивостокский,установлен,да,Китайская Народная Республика
6339,53.343378,121.535043,Покровка,ДФО,АПП,0.0,2021,Грузовые транспортные средства,Читинский,установлен,нет,Китайская Народная Республика
6340,46.723319,134.02228,Покровка,ДФО,СПП,0.0,2021,Грузовые транспортные средства,Хабаровский,установлен,да,Китайская Народная Республика
6341,44.018064,131.252823,Полтавка,ДФО,АПП,24813.0,2021,Грузовые транспортные средства,Владивостокский,установлен,да,Китайская Народная Республика
6342,48.953911,46.789453,Полынный,ЮФО,АПП,0.0,2021,Грузовые транспортные средства,Волгоградский,установлен,да,Республика Казахстан
6344,56.341761,28.248432,Посинь,СЗФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Псковский,установлен,нет,Латвийская Республика
6346,49.614111,128.680416,Поярково,ДФО,СПП,94.0,2021,Грузовые транспортные средства,Хабаровский,установлен,да,Китайская Народная Республика
6351,57.814291,28.326674,Псков,СЗФО,РПП,0.0,2021,Грузовые транспортные средства,Псковский,установлен,нет,Эстонская Республика
6353,57.0645000003278,27.9111000001431,Пыталово,СЗФО,ЖДПП,2007.0,2021,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика
6360,55.1583999991417,20.8500000014901,Рыбачий,СЗФО,РПП,0.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика
6363,50.857938,56.142094,Сагарчин,ПФО,АПП,206518.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6364,66.944902,29.038847,Салла,СЗФО,АПП,958.0,2021,Грузовые транспортные средства,Мурманский,установлен,да,Финляндская Республика
6366,59.955817,30.356343,Санкт-Петербург-Финляндский,СЗФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6370,50.710306,61.02061,Светлый,ПФО,АПП,0.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6371,61.123856,28.841682,Светогорск,СЗФО,АПП,73667.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6372,61.118075,28.845818,Светогорск,СЗФО,ЖДПП,1994.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6373,56.3053999990225,28.4697999991477,Себеж,СЗФО,ЖДПП,4310.0,2021,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика
6377,56.8999,27.743,Скангали,СЗФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Псковский,установлен,нет,Латвийская Республика
6378,53.441899,123.967124,Сковородино,ДФО,СПП,0.0,2021,Грузовые транспортные средства,Хабаровский,установлен,да,Китайская Народная Республика
6379,55.082342,21.903888,Советск,СЗФО,АПП,51962.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика
6380,55.082342,21.879756,Советск,СЗФО,ЖДПП,1377.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика
6381,55.084813,21.89674,"Советск (Русне, Юрбаркас)",СЗФО,РПП,0.0,2021,Грузовые транспортные средства,Калининградский,установлен,нет,Литовская Республика
6383,49.886726,115.713356,Соловьевск,ДФО,АПП,0.0,2021,Грузовые транспортные средства,Читинский,установлен,да,Монголия
6384,49.8947,115.7575,Соловьевск,ДФО,ЖДПП,326.0,2021,Грузовые транспортные средства,Читинский,установлен,да,Монголия
6388,50.199642,119.337367,Староцурухайтуйский,ДФО,АПП,0.0,2021,Грузовые транспортные средства,Читинский,установлен,да,Китайская Народная Республика
6389,58.574516,27.829775,Сторожинец,СЗФО,ОПП,0.0,2021,Грузовые транспортные средства,Псковский,установлен,нет,Эстонская Республика
6390,51.172627,35.139334,Суджа,ЦФО,АПП,21872.0,2021,Грузовые транспортные средства,Брянский,установлен,да,Украина
6391,52.318371,34.073437,Суземка,ЦФО,ЖДПП,46.0,2021,Грузовые транспортные средства,Брянский,установлен,да,Украина
6392,65.798791,30.109591,Суоперя,СЗФО,АПП,1984.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6395,61.501999,29.61031,Сювяоро,СЗФО,АПП,19684.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6398,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,0.0,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика
6400,49.643629,89.44195,Ташанта,СФО,АПП,8222.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия
6403,51.504733,51.543277,Теплое,ПФО,АПП,0.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6404,51.2789,34.285,Тёткино,ЦФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Брянский,установлен,нет,Украина
6405,51.24417,34.298149,Тёткино (Бояро-Лежачи),ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Брянский,установлен,нет,Украина
6406,51.24413,34.298117,Тёткино (Рыжевка),ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Брянский,установлен,да,Украина
6408,50.391387,37.467621,Тишанка,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,нет,Украина
6411,50.918237,80.103876,Топольное,СФО,АПП,0.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6412,60.596099,27.913096,Торфяновка,СЗФО,АПП,131741.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика
6413,50.866700001061,81.895300000906,Третьяково,СФО,ЖДПП,2915.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6414,51.881005,34.337551,Троебортное,ЦФО,АПП,88353.0,2021,Грузовые транспортные средства,Брянский,установлен,да,Украина
6415,54.1130000017583,61.5698999986053,"Троицк (Кайрак, Магнай)",УФО,ЖДПП,3741.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан
6417,45.262249,131.978153,Турий Рог,ДФО,АПП,4530.0,2021,Грузовые транспортные средства,Владивостокский,установлен,да,Китайская Народная Республика
6419,50.4167,113.8333,Убур-Тохтор,ДФО,АПП,0.0,2021,Грузовые транспортные средства,Читинский,установлен,нет,Монголия
6420,56.87317,27.833766,Убылинка,СЗФО,АПП,70991.0,2021,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика
6428,51.883,126.5631,Ушаково,ДФО,СПП,0.0,2021,Грузовые транспортные средства,Хабаровский,установлен,нет,Китайская Народная Республика
6431,48.468957,135.057972,Хабаровск,ДФО,РПП,679.0,2021,Грузовые транспортные средства,Хабаровский,установлен,да,Китайская Народная Республика
6433,50.700218,92.069395,Хандагайты (Боршо),СФО,АПП,3105.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия
6435,42.430155,130.644336,Хасан,ДФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Владивостокский,установлен,да,Корейская Народно-Демократическая Республика
6437,49.957094,95.62729,Цаган-Толгой,СФО,АПП,0.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия
6441,54.155114,74.804456,Черлак,СФО,РПП,104.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Республика Казахстан
6442,54.645721,22.736633,Чернышевское,СЗФО,АПП,130257.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика
6443,54.629537,21.817797,Черняховск,СЗФО,ЖДПП,0.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика
6448,50.515325,94.337233,Шара-Сур,СФО,АПП,0.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия
6450,50.352158,36.922684,Шебекино,ЦФО,АПП,0.0,2021,Грузовые транспортные средства,Белгородский,установлен,да,Украина
6451,57.644615,27.387415,Шумилкино,СЗФО,АПП,64834.0,2021,Грузовые транспортные средства,Псковский,установлен,да,Эстонская Республика
6453,49.130289,46.838265,Эльтон,ЮФО,ЖДПП,793.0,2021,Грузовые транспортные средства,Волгоградский,установлен,да,Республика Казахстан
6458,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,169212.0,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика
6460,49.5833,117.8167,Абагайтуй,ДФО,АПП,0.0,2022,Грузовые транспортные средства,Читинский,установлен,нет,Китайская Народная Республика
6462,43.397314,40.002072,Адлер,ЮФО,АПП,90346.0,2022,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия
6463,43.40274645,39.99306761,Адлер,ЮФО,ЖДПП,734.0,2022,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия
6465,50.3678,103.279,Айнек-Гол,ДФО,АПП,0.0,2022,Грузовые транспортные средства,Читинский,установлен,нет,Монголия
6466,46.7337,48.0892,Аксарайский,ЮФО,ЖДПП,6529.0,2022,Грузовые транспортные средства,Волгоградский,установлен,да,Республика Казахстан
6468,49.8833,109.0667,Алтан,ДФО,АПП,0.0,2022,Грузовые транспортные средства,Читинский,установлен,нет,Монголия
6469,47.690284,131.073245,Амурзет,ДФО,СПП,28.0,2022,Грузовые транспортные средства,Хабаровский,установлен,да,Китайская Народная Республика
6478,50.3099,90.0221,Аспайты,СФО,АПП,0.0,2022,Грузовые транспортные средства,Новосибирский,установлен,нет,Монголия
6481,54.372517,20.659173,Багратионовск,СЗФО,АПП,11524.0,2022,Грузовые транспортные средства,Калининградский,установлен,да,Республика Польша
6482,54.3927,20.6475,Багратионовск,СЗФО,ЖДПП,0.0,2022,Грузовые транспортные средства,Калининградский,установлен,нет,Республика Польша
6484,50.368527,35.756453,Безымено,ЦФО,АПП,0.0,2022,Грузовые транспортные средства,Белгородский,установлен,нет,Украина
6485,52.3835,33.4804,Белая Березка,ЦФО,АПП,0.0,2022,Грузовые транспортные средства,Брянский,установлен,нет,Украина
