,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство
2357,Головчино,Белгородский,50.4348,35.8312,ЦФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Украина
2358,Головчино,Белгородский,50.511166,35.825004,ЦФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Украина
2359,Горняк,Новосибирский,50.972275,81.420538,СФО,АПП,83531,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2360,Грайворон,Белгородский,50.43093,35.591033,ЦФО,АПП,108313,2017,Легковые транспортные средства,установлен,да,Украина
2364,Гусев,Калининградский,54.343023,22.298854,СЗФО,АПП,433845,2017,Легковые транспортные средства,установлен,да,Республика Польша
2366,Дербент,Северо-Кавказский,42.056396,48.306587,СКФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Азербайджанская Республика
2367,Джалинда,Хабаровский,53.482007,123.888834,ДФО,СПП,0,2017,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
2371,Долбино,Белгородский,50.7621,35.5521,ЦФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,нет,Украина
2374,Дубки,Калининградский,55.066608,21.952485,СЗФО,АПП,0,2017,Легковые транспортные средства,установлен,да,Литовская Республика
2379,Железнодорожный,Калининградский,54.356622,21.323472,СЗФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Республика Польша
2380,Железнодорожный,Калининградский,54.35581,21.32322,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Польша
2381,Желтура,Читинский,50.4742,105.1031,ДФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Монголия
2383,Забайкальск,Читинский,49.632878,117.373814,ДФО,АПП,82648,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2384,Забайкальск,Читинский,49.638766,117.331686,ДФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2386,Зауралье,Уральский,54.789484,65.945636,УФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2387,Звериноголовское,Уральский,54.386677,64.805326,УФО,АПП,50686,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2388,Зерново,Брянский,52.192193,34.058658,ЦФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Украина
2389,Ивангород,Санкт-Петербургский,59.376896,28.211033,СЗФО,АПП,524479,2017,Легковые транспортные средства,установлен,да,Эстонская Республика
2390,Ивангород,Санкт-Петербургский,59.36793,28.233993,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Эстонская Республика
