,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту
145,Красноярск (Емельяново),Новосибирский,56.180887,92.482809,СФО,ВПП,501421,2017,Число людей,установлен,да,7095600
146,Крупец,Брянский,51.647524,34.137715,ЦФО,АПП,291521,2017,Число людей,установлен,да,598600
147,Крупп,Псковский,57.895767,27.817193,СЗФО,АПП,6195,2017,Число людей,установлен,да,0
148,Крылово,Калининградский,54.3275,21.5533,СЗФО,АПП,0,2017,Число людей,установлен,нет,0
149,Кубинка,Центральный аппарат,55.608359,36.630973,ЦФО,ВПП,2770,2017,Число людей,установлен,да,0
150,Куйбышево (Дьяково),Ростовский,47.829234,39.121442,ЮФО,АПП,0,2017,Число людей,установлен,нет,0
151,Куйбышево (Мариновка),Ростовский,47.857207,38.858523,ЮФО,АПП,915508,2017,Число людей,установлен,да,693500
152,Кулунда,Новосибирский,52.571772,78.935906,СФО,ЖДПП,11838,2017,Число людей,установлен,да,350400
153,Кулунда (Шарбакты),Новосибирский,52.532284,78.630049,СФО,АПП,670501,2017,Число людей,установлен,да,700800
154,Куничина Гора,Псковский,57.832371,27.595687,СЗФО,АПП,436150,2017,Число людей,установлен,да,730000
155,Курган,Уральский,55.462743,65.411209,УФО,ВПП,0,2017,Число людей,установлен,нет,0
156,Курск,Брянский,51.748961,36.28221,ЦФО,ВПП,196,2017,Число людей,установлен,да,0
157,Кызыл,Новосибирский,51.6761790217312,94.4050161608327,СФО,ВПП,0,2017,Число людей,установлен,нет,0
158,Кяхта,Читинский,50.325935,106.487149,ДФО,АПП,721181,2017,Число людей,установлен,да,1825000
159,Лаврентия,Владивостокский,65.587303,189.001955,ДФО,МПП,0,2017,Число людей,установлен,нет,0
160,Левашово,Санкт-Петербургский,60.090118,30.19562,СЗФО,ВПП,0,2017,Число людей,установлен,нет,0
161,Лесозаводск,Владивостокский,45.45465120376154,133.3778381347585,ДФО,СПП,0,2017,Число людей,установлен,нет,0
162,Липецк,Белгородский,52.698093,39.524867,ЦФО,ВПП,265,2017,Число людей,установлен,да,438000
163,Логачевка,Белгородский,49.999964,37.951784,ЦФО,АПП,207717,2017,Число людей,установлен,да,0
164,Локоть,Новосибирский,51.287835,81.103774,СФО,ЖДПП,219977,2017,Число людей,установлен,да,350400
