Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту,Количество (Факт/Паспорт),Сопредельное государство
Крупп,Псковский,57.895767,27.817193,СЗФО,АПП,6195,2017,Число людей,установлен,да,0,0.0,Эстонская Республика
Крылово,Калининградский,54.3275,21.5533,СЗФО,АПП,0,2017,Число людей,установлен,нет,0,0.0,Республика Польша
Кулунда,Новосибирский,52.571772,78.935906,СФО,ЖДПП,11838,2017,Число людей,установлен,да,350400,0.03,Республика Казахстан
Кулунда (Шарбакты),Новосибирский,52.532284,78.630049,СФО,АПП,670501,2017,Число людей,установлен,да,700800,0.96,Республика Казахстан
Куничина Гора,Псковский,57.832371,27.595687,СЗФО,АПП,436150,2017,Число людей,установлен,да,730000,0.6,Эстонская Республика
Кяхта,Читинский,50.325935,106.487149,ДФО,АПП,721181,2017,Число людей,установлен,да,1825000,0.4,Монголия
Лесозаводск,Владивостокский,45.45465120376154,133.3778381347585,ДФО,СПП,0,2017,Число людей,установлен,нет,0,0.0,Китайская Народная Республика
Логачевка,Белгородский,49.999964,37.951784,ЦФО,АПП,207717,2017,Число людей,установлен,да,0,0.0,Украина
Локоть,Новосибирский,51.287835,81.103774,СФО,ЖДПП,219977,2017,Число людей,установлен,да,350400,0.63,Республика Казахстан
Локоть,Брянский,51.675,34.2175,ЦФО,ЖДПП,0,2017,Число людей,установлен,нет,0,0.0,Украина
Ломаковка,Брянский,52.295003,32.647313,ЦФО,АПП,42357,2017,Число людей,установлен,да,0,0.0,Украина
Лотта,Мурманский,68.477378,28.477149,СЗФО,АПП,77737,2017,Число людей,установлен,да,182500,0.43,Финляндская Республика
Лудонка,Псковский,57.132236,27.774503,СЗФО,АПП,114223,2017,Число людей,установлен,да,0,0.0,Латвийская Республика
Люття,Санкт-Петербургский,64.545064,29.994016,СЗФО,АПП,382020,2017,Число людей,установлен,да,0,0.0,Финляндская Республика
Люття,Санкт-Петербургский,64.5496,30.665,СЗФО,ЖДПП,9354,2017,Число людей,установлен,да,0,0.0,Финляндская Республика
Макушино,Уральский,55.2213630695047,67.2304994999999,УФО,ЖДПП,0,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Малиновое Озеро,Новосибирский,51.595588,79.437002,СФО,АПП,19113,2017,Число людей,установлен,да,87600,0.22,Республика Казахстан
Мамоново,Калининградский,54.447689,19.898678,СЗФО,ЖДПП,8143,2017,Число людей,установлен,да,0,0.0,Республика Польша
Мамоново (Гжехотки),Калининградский,54.424393,20.074312,СЗФО,АПП,1221208,2017,Число людей,установлен,да,0,0.0,Республика Польша
Мамоново (Гроново),Калининградский,54.439183,19.901304,СЗФО,АПП,1060824,2017,Число людей,установлен,да,0,0.0,Республика Польша
